game_id,ai1_name,ai1_type,ai1_depth,ai1_heuristic,ai2_name,ai2_type,ai2_depth,ai2_heuristic,starting_ai,winner,is_draw,total_moves,duration_seconds
20,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,33,14.516
21,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,16.046
22,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,33,11.898
23,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,11.867
24,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,33,11.755
25,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,12.268
26,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,33,11.578
27,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,12.503
28,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,33,9.799
29,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,10.276
30,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,31,5.667
31,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,30,2.388
32,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,31,5.444
33,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,30,2.314
34,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,31,5.37
35,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,30,2.989
36,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,31,7.278
37,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,30,2.208
38,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,31,5.707
39,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,30,2.801
