game_id,ai1_name,ai2_name,winner,total_moves,duration_seconds
0,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.876
1,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.366
2,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.033
3,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.765
4,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.848
5,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.732
6,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.426
7,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.24
8,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.706
9,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.298
10,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.293
11,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.181
12,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.204
13,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,4.732
14,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,8.984
15,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,4.65
16,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,8.79
17,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,4.707
18,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.342
19,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",31,5.074
20,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,8.827
21,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,6.661
22,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.125
23,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.324
24,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.074
25,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.607
26,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.674
27,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.058
28,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,9.966
29,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.107
30,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.016
31,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.217
32,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.606
33,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,8.004
34,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.626
35,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.7
36,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.6
37,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.436
38,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",33,10.649
39,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",29,7.374
40,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,10.474
41,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,11.144
42,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,10.476
43,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,10.789
44,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,10.136
45,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,11.077
46,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,11.681
47,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,25.697
48,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,26.037
49,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,30.662
50,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,25.104
51,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,16.55
52,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,11.153
53,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,11.541
54,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,11.315
55,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,11.812
56,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,10.489
57,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,12.574
