game_id,ai1_name,ai2_name,winner,total_moves,duration_seconds
58,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",33,11.602
59,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",28,12.993
60,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,6.905
61,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.899
62,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,6.559
63,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,3.777
64,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,13.105
65,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,5.566
66,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,13.176
67,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,5.423
68,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,12.879
69,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,5.46
70,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,8.261
71,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.623
72,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,6.234
73,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.37
74,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,5.707
75,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.427
76,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,5.835
77,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.475
78,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",31,6.037
79,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",30,2.386
