game_id,ai1_name,ai1_type,ai1_depth,ai1_heuristic,ai2_name,ai2_type,ai2_depth,ai2_heuristic,starting_ai,winner,is_draw,total_moves,duration_seconds
0,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,13.137
1,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,6.005
2,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,11.988
3,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,6.834
4,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,11.525
5,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,6.366
6,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,11.64
7,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,6.01
8,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,33,23.128
9,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,10.005
10,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,35,11.058
11,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,33,10.339
12,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,35,18.616
13,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,33,7.094
14,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,35,13.113
15,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,33,13.385
16,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,35,11.029
17,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,33,7.788
18,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=5, heuristic=balanced_heuristic)",False,35,11.759
19,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=defensive_heuristic)",False,33,7.098
20,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,15.473
21,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,12.149
22,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,15.122
23,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,12.703
24,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,11.462
25,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,9.793
26,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,12.399
27,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,10.223
28,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,31,12.565
29,"Minimax(depth=5, heuristic=defensive_heuristic)",MinimaxAI,5,defensive_heuristic,"Minimax(depth=5, heuristic=aggressive_heuristic)",MinimaxAI,5,aggressive_heuristic,"Minimax(depth=5, heuristic=defensive_heuristic)","Minimax(depth=5, heuristic=aggressive_heuristic)",False,28,11.099
30,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,31,7.141
31,"Minimax(depth=5, heuristic=balanced_heuristic)",MinimaxAI,5,balanced_heuristic,"Minimax(depth=3, heuristic=balanced_heuristic)",MinimaxAI,3,balanced_heuristic,"Minimax(depth=5, heuristic=balanced_heuristic)","Minimax(depth=3, heuristic=balanced_heuristic)",False,30,2.893
