game_id,move_num,ai_name,col_chosen,score,nodes_evaluated,time_ms
0,0,"Minimax(depth=5, heuristic=balanced_heuristic)",3,17,657,208.96
0,1,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,24,655,246.24
0,2,"Minimax(depth=5, heuristic=balanced_heuristic)",3,21,1626,471.7
0,3,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,36,1046,389.7
0,4,"Minimax(depth=5, heuristic=balanced_heuristic)",2,28,2916,779.5
0,5,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,36,2569,778.15
0,6,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,3374,1035.91
0,7,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,60,2051,716.04
0,8,"Minimax(depth=5, heuristic=balanced_heuristic)",2,34,3106,796.64
0,9,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,78,2114,583.35
0,10,"Minimax(depth=5, heuristic=balanced_heuristic)",4,32,2529,712.69
0,11,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,92,1680,463.37
0,12,"Minimax(depth=5, heuristic=balanced_heuristic)",3,29,1095,278.56
0,13,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,84,933,223.78
0,14,"Minimax(depth=5, heuristic=balanced_heuristic)",5,39,926,219.22
0,15,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,108,948,222.32
0,16,"Minimax(depth=5, heuristic=balanced_heuristic)",6,33,1622,396.83
0,17,"Minimax(depth=5, heuristic=aggressive_heuristic)",4,104,453,94.85
0,18,"Minimax(depth=5, heuristic=balanced_heuristic)",0,36,701,152.61
0,19,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,104,422,98.55
0,20,"Minimax(depth=5, heuristic=balanced_heuristic)",0,38,734,229.4
0,21,"Minimax(depth=5, heuristic=aggressive_heuristic)",0,94,358,98.13
0,22,"Minimax(depth=5, heuristic=balanced_heuristic)",0,41,658,152.89
0,23,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,88,239,50.41
0,24,"Minimax(depth=5, heuristic=balanced_heuristic)",1,41,375,95.26
0,25,"Minimax(depth=5, heuristic=aggressive_heuristic)",6,100,226,88.11
0,26,"Minimax(depth=5, heuristic=balanced_heuristic)",6,42,297,101.73
0,27,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,78,151,29.91
0,28,"Minimax(depth=5, heuristic=balanced_heuristic)",5,41,281,65.23
0,29,"Minimax(depth=5, heuristic=aggressive_heuristic)",5,64,120,23.61
0,30,"Minimax(depth=5, heuristic=balanced_heuristic)",5,10000000,168,52.43
0,31,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,-10000000,62,12.45
0,32,"Minimax(depth=5, heuristic=balanced_heuristic)",2,10000000,21,4.33
1,0,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,30,657,169.5
1,1,"Minimax(depth=5, heuristic=balanced_heuristic)",3,9,1367,406.98
1,2,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,36,1711,525.39
1,3,"Minimax(depth=5, heuristic=balanced_heuristic)",2,16,1480,448.42
1,4,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,66,981,317.23
1,5,"Minimax(depth=5, heuristic=balanced_heuristic)",2,18,784,222.16
1,6,"Minimax(depth=5, heuristic=aggressive_heuristic)",3,90,751,190.31
1,7,"Minimax(depth=5, heuristic=balanced_heuristic)",3,22,241,48.24
1,8,"Minimax(depth=5, heuristic=aggressive_heuristic)",2,96,384,81.55
1,9,"Minimax(depth=5, heuristic=balanced_heuristic)",0,19,1516,365.49
