game_id,ai1_name,ai2_name,winner,total_moves,duration_seconds
0,Random,Greedy,Greedy,14,0.003
1,Random,Greedy,Greedy,10,0.002
2,Random,Greedy,Greedy,8,0.001
3,Random,Greedy,Greedy,14,0.003
4,Random,Greedy,Greedy,8,0.002
5,Random,Greedy,Greedy,10,0.002
6,Random,Greedy,Greedy,14,0.003
7,Random,Greedy,Greedy,8,0.002
8,Random,Greedy,Random,17,0.003
9,Random,Greedy,Greedy,14,0.003
10,Random,Greedy,Greedy,14,0.003
11,Random,Greedy,Greedy,10,0.002
12,Random,Greedy,Greedy,18,0.004
13,Random,Greedy,Greedy,12,0.002
14,Random,Greedy,Greedy,8,0.001
15,Random,Greedy,Greedy,8,0.002
16,Random,Greedy,Greedy,10,0.002
17,Random,Greedy,Greedy,8,0.001
18,Random,Greedy,Greedy,8,0.001
19,Random,Greedy,Greedy,8,0.002
20,Random,Minimax(depth=3),Minimax(depth=3),14,0.096
21,Random,Minimax(depth=3),Minimax(depth=3),16,0.132
22,Random,Minimax(depth=3),Minimax(depth=3),10,0.07
23,Random,Minimax(depth=3),Minimax(depth=3),8,0.071
24,Random,Minimax(depth=3),Minimax(depth=3),16,0.12
25,Random,Minimax(depth=3),Minimax(depth=3),12,0.116
26,Random,Minimax(depth=3),Minimax(depth=3),12,0.11
27,Random,Minimax(depth=3),Minimax(depth=3),10,0.091
28,Random,Minimax(depth=3),Minimax(depth=3),12,0.1
29,Random,Minimax(depth=3),Minimax(depth=3),8,0.068
30,Random,Minimax(depth=3),Minimax(depth=3),12,0.101
31,Random,Minimax(depth=3),Minimax(depth=3),18,0.11
32,Random,Minimax(depth=3),Minimax(depth=3),14,0.083
33,Random,Minimax(depth=3),Minimax(depth=3),10,0.069
34,Random,Minimax(depth=3),Minimax(depth=3),10,0.06
35,Random,Minimax(depth=3),Minimax(depth=3),8,0.064
36,Random,Minimax(depth=3),Minimax(depth=3),8,0.063
37,Random,Minimax(depth=3),Minimax(depth=3),14,0.08
38,Random,Minimax(depth=3),Minimax(depth=3),14,0.129
39,Random,Minimax(depth=3),Minimax(depth=3),10,0.084
40,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.084
41,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.08
42,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.078
43,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.078
44,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.078
45,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.079
46,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.083
47,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.085
48,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.082
49,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.077
50,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.077
51,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.076
52,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.075
53,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.078
54,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.076
55,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.082
56,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.08
57,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.076
58,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.075
59,Greedy,Minimax(depth=3),Minimax(depth=3),14,0.076
60,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.352
61,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.483
62,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,3.169
63,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,3.463
64,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,3.237
65,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.701
66,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.457
67,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.457
68,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.311
69,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.467
70,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.309
71,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.318
72,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.317
73,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.352
74,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.349
75,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.288
76,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.288
77,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.381
78,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.404
79,Minimax(depth=3),Minimax(depth=5),Minimax(depth=5),30,2.338
